Code,Region,Income,Country_Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
BTN,South Asia,Lower middle income,Bhutan,316.3499358,332.8105995,329.573352,356.2505646,355.4158972,351.6798951,399.4935001,491.1278109,534.2961879,506.9683935,541.9322571,449.5012422,449.4004282,424.3378418,486.9019801,543.3016187,560.391079,638.4858666,643.9882263,690.9127435,718.196337,764.4328082,845.5006721,962.0953713,1068.431811,1228.432356,1330.977444,1757.190496,1828.154677,1819.19731,2258.186435,2563.261224,2538.949519,2472.724753,2652.225654,2752.630172,2930.574923,3286.596744,3243.477437,3322.863329,3000.779327
BOL,Latin America & Caribbean,Lower middle income,Bolivia,811.2852993,1030.833054,960.9837782,913.9748507,1019.057257,870.1856484,627.3986288,671.0758547,698.6920028,701.6659386,709.0599824,762.0777071,788.15232,784.1909887,801.0461369,880.9926864,950.8563862,998.5159532,1049.499374,1003.392231,997.5817489,948.8702113,904.2257999,907.5374158,967.4064586,1034.3118,1218.87407,1372.628368,1715.208393,1754.209464,1955.460182,2346.337844,2609.880562,2908.20037,3081.878823,3035.971655,3076.65644,3351.124344,3548.59078,3552.068143,3133.099803
BIH,Europe & Central Asia,Upper middle income,Bosnia and Herzegovina,,,,,,,,,,,,,,,319.012792,487.4769045,740.0996865,982.8018491,1102.390688,1251.747595,1484.176056,1544.602075,1789.857691,2258.946452,2698.46718,2980.601268,3416.512376,4193.368011,5090.945834,4714.693746,4635.510195,5092.554723,4777.066914,5129.663534,5330.355075,4729.689959,4994.971551,5394.268944,6070.349081,6119.762345,6079.738285
BWA,Sub-Saharan Africa,Upper middle income,Botswana,1181.61387,1154.178578,1054.055946,1176.819535,1202.976002,1042.239754,1253.555317,1701.678133,2203.646615,2477.975358,2945.83204,2972.728953,3040.989396,2973.380401,2970.118425,3219.914242,3221.689056,3258.982428,3039.964944,3405.821058,3522.310821,3278.016079,3190.624811,4330.972369,5073.520408,5513.331063,5521.990608,5832.737052,5713.543931,5255.776533,6434.812485,7617.310041,7050.573472,7224.912737,7495.220866,6402.910183,6982.917492,7296.092142,7503.878588,7203.064221,6404.899932
BRA,Latin America & Caribbean,Upper middle income,Brazil,1966.903626,2088.002687,2144.804053,1465.108092,1422.683914,1558.907935,1857.091234,2009.039729,2146.75851,2371.572196,2622.262881,2259.239894,2127.50719,2348.090047,3295.244924,4748.388208,5166.163933,5282.04947,5087.079072,3479.843833,3749.910848,3160.249345,2839.491501,3070.436419,3637.31389,4790.456566,5886.391522,7348.187963,8831.183643,8597.794335,11286.07154,13245.38737,12370.22325,12300.38671,12112.83496,8813.989806,8710.06329,9928.675897,9151.381732,8897.552966,6796.844542
VGB,Latin America & Caribbean,High income,British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRN,East Asia & Pacific,High income,Brunei Darussalam,25422.03919,21828.12245,20693.82491,18129.2439,17337.02648,15699.57478,10214.02849,11594.56754,11009.25739,11872.72517,13607.89027,13905.16834,15274.66771,14575.57459,14120.95256,15933.45283,16793.39123,16660.14763,12694.14896,14101.17285,18012.50219,16472.00329,16850.39408,18560.5035,21902.02712,26105.42203,30979.96284,32663.39237,37934.67645,27956.00514,35270.64214,47055.96064,47739.55769,44740.85942,41725.86752,31164.03625,27158.40565,28571.60829,31628.47626,31085.96193,27442.95383
BGR,Europe & Central Asia,Upper middle income,Bulgaria,2238.802958,2234.814816,2169.004011,1852.813434,1963.572676,1914.550647,2260.427281,3132.30136,2511.393063,2477.020818,2366.529821,1267.734375,1211.980878,1278.247173,1148.494399,2258.286018,1470.103703,1361.392386,1820.405094,1659.718346,1621.242961,1770.913534,2092.957694,2719.497656,3389.707049,3899.907638,4523.050833,5885.104348,7265.735497,6988.233325,6853.002854,7849.165283,7432.478766,7681.93462,7901.785876,7074.681023,7569.478815,8366.293221,9446.700772,9879.268533,10079.20338
BFA,Sub-Saharan Africa,Low income,Burkina Faso,282.6858501,254.2304687,245.0944909,217.9946024,193.8432731,200.8943518,256.7624807,291.1316167,313.0615914,304.8535209,351.9792335,346.4105959,361.0468756,334.943237,193.0702802,235.8321506,249.3605589,229.4929493,255.7182367,300.4217239,255.7186873,267.0975996,294.6653885,374.627358,418.3766603,457.9334308,473.4498682,535.0622795,643.404581,624.1751645,647.8360955,751.1727704,758.000427,787.4694383,792.8462374,653.3272681,688.2506963,734.996268,804.5005378,796.1152068,857.9327297
BDI,Sub-Saharan Africa,Low income,Burundi,221.2319418,227.12812,231.3436938,240.7817032,213.6168414,242.0585038,245.9153275,225.0714758,209.4148608,209.8944126,208.1466789,209.778011,190.4888799,161.887525,156.812381,167.0988878,143.4023238,158.9146699,144.4930173,128.9389187,136.4639708,134.3634269,123.1175361,113.5672513,128.3367028,151.6815663,167.3764625,172.4955966,198.3528517,212.1370572,234.2355389,249.5779794,252.3588707,256.9756526,274.8578362,305.5496525,260.5652208,253.8263541,238.783467,228.2135892,238.9907259
CPV,Sub-Saharan Africa,Lower middle income,Cabo Verde,501.1374945,483.1269255,477.9392565,461.2399971,431.2375548,441.9066289,602.1584963,732.5632731,811.3983382,807.5623924,908.0881284,923.7442808,1003.929541,1339.729577,1080.156565,1261.103098,1269.120577,1213.632864,1265.19785,1408.986203,1259.353067,1292.226512,1401.891073,1809.11003,2024.266381,2099.148417,2361.380101,3186.779935,3721.219993,3517.430156,3378.323433,3740.374103,3447.4831,3616.03557,3588.625584,3043.031382,3130.998753,3289.902203,3616.464537,3603.775241,3064.272388
KHM,East Asia & Pacific,Lower middle income,Cambodia,,,,,,,,,,,,,,254.1166348,270.5429401,322.9315754,319.2863136,304.7647688,268.9903722,295.9031784,300.613679,321.1502236,338.9874773,362.3354822,408.5136388,474.1111921,539.7503289,631.5252576,745.609127,738.0547312,785.5026671,882.275614,950.880346,1013.420536,1093.495976,1162.904995,1269.591499,1385.260066,1512.126989,1643.121389,1543.669258
CMR,Sub-Saharan Africa,Lower middle income,Cameroon,774.1852434,743.7601604,721.2163069,726.5059552,749.3390662,848.4732795,1140.597182,1216.064467,1104.793753,963.8326781,1045.364362,975.4719489,965.7807389,1257.905709,672.848688,798.8813102,794.0511616,752.1698237,767.3403603,765.3103315,681.102043,687.6481344,759.1118514,950.5648637,1090.785332,1100.174926,1147.4366,1277.516807,1439.547804,1411.474572,1352.302275,1465.145788,1403.522915,1527.751257,1604.214035,1382.50979,1413.255957,1469.4475,1585.240534,1533.095688,1537.130218
CAN,North America,High income,Canada,11170.56397,12337.46625,12481.87479,13425.12249,13877.91708,14114.80776,14461.06924,16308.96697,18936.9641,20715.63148,21448.36196,21768.34329,20879.84833,20121.16125,19935.38146,20613.78788,21227.34753,21901.56285,21024.58507,22315.24667,24271.00206,23822.06012,24255.33858,28300.4631,32143.68141,36382.50792,40504.06073,44659.89514,46710.50558,40876.31015,47562.08343,52223.69611,52669.08996,52635.17496,50955.99832,43596.13554,42315.60371,45129.35644,46454.74339,46326.67264,43258.17632
CYM,Latin America & Caribbean,High income,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,82801.54266,85433.03094,85188.33704,77400.42144,73351.75677,72329.66133,72777.14849,73514.66868,74990.43322,76284.19393,78471.62873,81513.16302,86059.73922,91392.64259,85082.52686
CAF,Sub-Saharan Africa,Low income,Central African Republic,362.4001488,306.8322393,320.4298321,273.5013818,257.3536366,340.201389,432.0117587,453.7462185,469.529167,449.3988958,513.3041877,478.5032764,477.1223243,419.8027038,271.5054976,346.1081962,304.6310755,276.4215961,278.3319015,280.9084242,251.2072914,250.3571459,260.7454587,293.661549,320.7368123,331.1630882,354.6708633,404.3745429,464.5612047,474.7056275,488.4217358,551.7497219,565.8012071,380.2979111,424.4491317,377.4229177,402.1916451,450.9006579,475.9538139,467.9080323,492.7958712
TCD,Sub-Saharan Africa,Low income,Chad,228.8224844,190.107209,176.8423264,172.2602177,185.3943371,202.7455568,203.5012509,214.9381823,265.2409713,248.3033757,291.5533573,304.8744725,296.0396966,222.9231832,173.9902724,206.2606526,221.6730401,205.8626958,224.5537395,190.5590719,166.1757089,197.1460821,221.4165369,292.6008802,454.3363652,658.566973,710.3963987,799.603742,929.3827519,803.6863884,892.5688697,984.7361305,967.3529488,979.8117426,1020.287979,776.0197523,693.4497674,665.9488849,726.1510071,709.5400432,659.270045
CHI,Europe & Central Asia,High income,Channel Islands,,,,,,,,,,,,,,,,,,,40584.82851,42444.00762,43382.82685,41804.37092,44545.92231,48858.83186,56751.12694,58198.98418,63243.37383,74458.79467,,,,,,,,,,,,,
CHL,Latin America & Caribbean,High income,Chile,2542.763806,2979.607879,2156.513066,1709.442069,1624.631968,1444.280138,1517.861345,1760.306398,2026.837914,2288.554941,2494.526796,2803.562714,3350.214089,3535.17436,4024.215228,5107.277513,5349.805227,5745.371076,5446.579522,4957.777557,5074.902616,4574.594716,4446.249371,4772.563723,6194.85272,7598.528877,9464.548507,10502.35071,10751.4816,10208.90797,12808.03834,14637.23344,15351.54074,15842.93648,14670.98891,13574.16924,13753.59215,14998.81706,15888.14436,14741.7144,13231.70421
CHN,East Asia & Pacific,Upper middle income,China,194.8047222,197.0714745,203.3349195,225.4319289,250.713969,294.4588485,281.9281209,251.811957,283.5376952,310.8819124,317.884673,333.1421454,366.4606923,377.3898395,473.4922787,609.6566792,709.4137551,781.7441643,828.5804793,873.2870617,959.3724836,1053.108243,1148.50829,1288.643252,1508.668098,1753.417829,2099.229435,2693.970063,3468.304602,3832.236432,4550.453108,5614.352135,6300.615118,7020.338485,7636.116601,8016.431435,8094.363367,8816.986905,9905.342004,10143.83817,10434.77519
COL,Latin America & Caribbean,Upper middle income,Colombia,1241.639587,1323.376573,1386.672969,1348.804623,1304.177177,1165.042414,1142.939363,1165.982397,1232.226154,1218.21101,1445.32863,1456.694357,1697.112936,1893.542212,2284.838813,2539.912877,2620.538762,2827.379527,2566.024194,2209.93165,2520.481089,2439.682456,2396.627127,2281.401762,2782.623185,3414.465158,3741.092837,4714.073055,5472.53653,5193.241458,6336.709474,7335.166934,8050.255372,8218.347844,8114.343921,6175.87603,5870.777957,6376.706716,6729.583332,6424.979492,5334.556042
COM,Sub-Saharan Africa,Low income,Comoros,689.3984895,618.1972869,562.8150253,570.1541215,534.6491149,553.6324027,763.3253505,896.1331714,918.8997605,854.4652011,1043.790659,1000.556291,1047.965144,1008.038469,690.4672501,838.171684,810.5475521,726.0523149,718.1212694,723.1782555,647.4258118,680.9055728,747.9888625,937.7108963,1061.075548,1069.029426,1114.945281,1240.092528,1393.216032,1344.730406,1316.491213,1447.945144,1403.360252,1505.337292,1513.830379,1242.585608,1273.050952,1323.814843,1428.290463,1401.542312,1420.661747
COD,Sub-Saharan Africa,Low income,"Congo, Dem. Rep.",546.1124995,463.671172,492.5324912,387.5076636,269.8427243,240.7880982,263.8313003,243.0047857,273.1278194,269.5928759,270.1305434,268.2924969,220.3680073,275.8216169,145.0956035,135.8235936,134.9951648,138.9790482,138.5891003,102.5979732,405.2162186,153.5910441,175.009951,173.7961252,194.0400026,218.3862267,255.4330432,286.3304725,327.5637218,298.6196916,334.0215777,387.082477,424.6003738,457.9637475,486.7870951,497.3170391,471.3188225,467.0742317,560.8073582,580.7168706,543.9503925
COG,Sub-Saharan Africa,Lower middle income,"Congo, Rep.",959.4274975,1088.976699,1146.305648,1080.816288,1098.441641,1051.873692,875.4516702,1058.229422,991.5187054,1042.052007,1187.549772,1124.897863,1178.027111,1048.612991,672.1631948,781.5250117,912.0123512,810.0766444,660.4714774,774.7119448,1032.137542,869.1005017,916.5880378,1028.415222,1326.596688,1834.880014,2153.491743,2262.85441,2892.416962,2336.160957,3073.557784,3557.55617,3923.093509,3883.746848,3776.485568,2447.539308,2050.993415,2169.991504,2606.615331,2369.729494,1846.131297
